pathway,drug,n,rho,P,q
p53 signaling pathway,AZD6738,805,0.11776672177542999,0.0008145490359137115,0.003264957377069141
p53 signaling pathway,Talazoparib,805,0.10064566276703346,0.004257902617095725,0.0130778437525083
p53 signaling pathway,Niraparib,805,0.13011682797117474,0.00021411443411295137,0.0011022369812434328
p53 signaling pathway,Olaparib,805,0.10359119434499894,0.0032557795575351893,0.01034771676764445
p53 signaling pathway,Ribociclib,805,0.11959064778139113,0.0006737973431209609,0.0027827449594430647
p53 signaling pathway,Trametinib,805,0.025079034339882973,0.4773559942976532,0.5864659358514025
p53 signaling pathway,Erlotinib,805,0.03479997635238262,0.32407054121414913,0.4501179745495678
p53 signaling pathway,Selumetinib,805,0.03259789550007464,0.3556462780926414,0.47702280602884556
Colorectal cancer,MK-1775,805,0.007532456239831006,0.8310261222552382,0.876594654211514
Colorectal cancer,Paclitaxel,805,-0.019388377840158205,0.582803698564468,0.6773124064397871
Colorectal cancer,Gefitinib,805,-0.02588947131242666,0.46323455241547795,0.5749141898399226
Colorectal cancer,Gemcitabine,805,0.03472466283167336,0.32511941253375076,0.4501179745495678
Colorectal cancer,5-Fluorouracil,805,-0.010911282098822656,0.7572388162452637,0.8137741591940832
Colorectal cancer,Palbociclib,805,0.017233994883292768,0.625373946813368,0.7099957728030468
Colorectal cancer,Docetaxel,805,-0.0018003934165331892,0.95932363451976,0.9712819623738844
Colorectal cancer,Cisplatin,805,0.018584128814184708,0.5985375664988013,0.687941762752553
Colorectal cancer,AZD7762,805,0.008891780175613463,0.8011220816322531,0.8532170813130957
Colorectal cancer,AZD6738,805,-0.01912774797160722,0.587881390871752,0.6788962033605855
Colorectal cancer,Talazoparib,805,-0.014554694431607203,0.6800949706247372,0.7521171309026973
Colorectal cancer,Niraparib,805,-0.015397474351651574,0.6626827841904321,0.7395742217453525
Colorectal cancer,Olaparib,805,-0.05994125821426904,0.0892117732254926,0.1586710613815939
Colorectal cancer,Ribociclib,805,0.006168002519345383,0.8612906052893812,0.8994334749521966
Colorectal cancer,Trametinib,805,-0.014445887787454847,0.6823556697301294,0.7523408666255273
Colorectal cancer,Erlotinib,805,-0.029389548719267584,0.40499151254863186,0.522130238500961
Colorectal cancer,Selumetinib,805,-0.019633411322930065,0.5780485711235878,0.6728559004639214
Rap1 signaling pathway,MK-1775,805,0.017965288150128326,0.6107735679039298,0.6976179345902698
Rap1 signaling pathway,Paclitaxel,805,-0.0014388240969221062,0.9674875039513413,0.9758253496020886
Rap1 signaling pathway,Gefitinib,805,-0.0124892084742203,0.7234786456393627,0.7869983481582948
Rap1 signaling pathway,Gemcitabine,805,0.05536963089243761,0.11647578698488191,0.19754942061705028
Rap1 signaling pathway,5-Fluorouracil,805,0.04769880848673421,0.17637463219209573,0.2728598534361828
Rap1 signaling pathway,Palbociclib,805,0.013303912676019547,0.706251126142351,0.7728586425300279
Rap1 signaling pathway,Docetaxel,805,0.020475880813224316,0.5618401369355956,0.658181314262693
Rap1 signaling pathway,Cisplatin,805,0.0424964706851207,0.22843401994036888,0.3373439769220397
Rap1 signaling pathway,AZD7762,805,0.022902050326638463,0.5164260794020413,0.6198808933380824
Rap1 signaling pathway,AZD6738,805,0.029300387080211657,0.40641874925724597,0.522130238500961
Rap1 signaling pathway,Talazoparib,805,0.09156858924709713,0.009337119893431056,0.02537336298177733
Rap1 signaling pathway,Niraparib,805,0.11192937183600975,0.0014687717868224236,0.005534392660655627
Rap1 signaling pathway,Olaparib,805,0.06014166487047524,0.08814539454539573,0.15754103523883686
Rap1 signaling pathway,Ribociclib,805,0.04865651398694458,0.16783933484143584,0.2627206718824189
Rap1 signaling pathway,Trametinib,805,-0.02168925880591954,0.5388882657061129,0.6391918827555559
Rap1 signaling pathway,Erlotinib,805,0.0014242858730099941,0.9678158392086377,0.9758253496020886
Rap1 signaling pathway,Selumetinib,805,-0.018080972846416316,0.6084777926841711,0.6960833590800143
mTOR signaling pathway,MK-1775,805,0.06262576886386309,0.07576039454896416,0.14163899850458517
mTOR signaling pathway,Paclitaxel,805,0.035513752538725844,0.31423932722407494,0.44005545632336934
mTOR signaling pathway,Gefitinib,805,-0.030681265313154953,0.3846519726130848,0.5030064257248033
mTOR signaling pathway,Gemcitabine,805,0.06358048390662319,0.07139450131477816,0.13485628026124763
mTOR signaling pathway,5-Fluorouracil,805,0.054528461218712625,0.12213932243482153,0.20619825565786268
mTOR signaling pathway,Palbociclib,805,0.06266709504586497,0.0755670089388011,0.14163899850458517
mTOR signaling pathway,Docetaxel,805,0.017018497917482802,0.6297048574317892,0.7114594293394711
mTOR signaling pathway,Cisplatin,805,0.021656087731740322,0.5395094277157018,0.6391918827555559
mTOR signaling pathway,AZD7762,805,0.04678085306709367,0.1848548422139902,0.28328907685204785
mTOR signaling pathway,AZD6738,805,0.052508223182900285,0.13661838523491127,0.22543575531991003
